session_length	type
237.995853913348	mobile
238.207752853853	mobile
238.338053745973	mobile
240.089173681648	mobile
241.206932388157	mobile
240.200078764707	mobile
239.545265092466	mobile
241.544925966645	mobile
240.238793806031	mobile
240.690285139178	mobile
238.438812403253	mobile
238.67758979997	mobile
240.38505549083	mobile
238.218763503498	mobile
240.436181443254	mobile
238.65105046958	mobile
240.037391356667	mobile
240.183849953233	mobile
236.217582032895	mobile
238.855308139567	mobile
242.049583476915	mobile
238.299207430137	mobile
241.022294787855	mobile
241.417994453652	mobile
239.744950033639	mobile
239.274199635713	mobile
239.490386876925	mobile
239.482067354764	mobile
239.017153202825	mobile
239.006760637338	mobile
242.505724115675	mobile
239.19164984712	mobile
239.467063772064	mobile
237.461211116763	mobile
238.928023279347	mobile
240.513201293054	mobile
240.241517752143	mobile
239.581327294706	mobile
238.64695361087	mobile
240.902326293738	mobile
238.374553529917	mobile
240.438112272526	mobile
239.266427090683	mobile
239.057323203317	mobile
237.49517292682	mobile
240.069920086641	mobile
237.307127658993	mobile
241.523610267855	mobile
240.275151375921	mobile
238.838308090339	mobile
240.338212369341	mobile
237.576770975206	mobile
239.069761463273	mobile
241.621896588504	mobile
237.902430219393	mobile
240.45451064691	mobile
240.522565541535	mobile
238.306952626311	mobile
239.357044791957	mobile
241.102935626261	mobile
239.584576338863	mobile
240.323400228636	mobile
240.046060944192	mobile
237.66567663806	mobile
236.855904344639	mobile
242.397668783468	mobile
240.227416681709	mobile
239.393560985215	mobile
238.342079497656	mobile
239.892327551785	mobile
238.967958079673	mobile
240.036122369724	mobile
237.957018537055	mobile
236.972525338716	mobile
239.807934450261	mobile
238.771193996379	mobile
237.625736367962	mobile
239.812058657828	mobile
241.331325927263	mobile
238.642938798729	mobile
239.680100425001	mobile
239.289952577083	mobile
237.534320080077	mobile
239.446240352691	mobile
240.64365533877	mobile
238.055282978619	mobile
239.87910164476	mobile
238.317667908305	mobile
237.786219458164	mobile
241.961104456223	mobile
240.153131717563	mobile
239.268680636463	mobile
241.151042264923	mobile
240.21325544379	mobile
236.733862807196	mobile
239.322754795622	mobile
239.726746634723	mobile
241.846348654163	mobile
240.87412962264	mobile
239.549712016541	mobile
239.714937398467	mobile
239.857884401853	mobile
235.271874982907	mobile
238.672612308079	mobile
239.396837378229	mobile
237.464777407657	mobile
239.335597818655	mobile
241.260793226235	mobile
238.931398128244	mobile
237.908933777479	mobile
239.566252604979	mobile
240.776543432719	mobile
239.646800457273	mobile
236.797131651926	mobile
239.582579872336	mobile
237.998041821871	mobile
239.758722917795	mobile
240.045322525065	mobile
239.971053970233	mobile
240.542907621032	mobile
239.785174731844	mobile
241.495867587776	mobile
241.096087472583	mobile
236.60692035466	mobile
237.492366934138	mobile
240.989536327486	mobile
238.81474431554	mobile
240.622771751913	mobile
237.274943524611	mobile
239.051793264524	mobile
239.894345897398	mobile
241.138724339935	mobile
240.587743336451	mobile
238.87258167736	mobile
237.846025937656	mobile
238.351722704474	mobile
238.355294465138	mobile
238.329411507305	mobile
239.764767015091	mobile
238.826422277285	mobile
237.208168556473	mobile
243.376353084678	mobile
240.270201232886	mobile
242.425668542798	mobile
241.213829769777	mobile
237.057350552173	mobile
237.941364051569	mobile
238.313368668056	mobile
239.229035734016	mobile
237.376774257068	mobile
238.138549307253	mobile
240.487646521499	mobile
238.951915240424	mobile
239.768716189976	mobile
240.607806457612	mobile
238.314336817578	mobile
239.159186754402	mobile
238.912111714609	mobile
238.73747285626	mobile
240.377195429459	mobile
238.721276863414	mobile
239.711409395973	mobile
239.563884194002	mobile
238.005338496797	mobile
239.02900072748	mobile
237.749265683202	mobile
239.811489801611	mobile
237.494325112267	mobile
237.826887207846	mobile
236.766626737336	mobile
242.529058160078	mobile
240.932404566165	mobile
240.678782210116	mobile
241.277711228894	mobile
239.286949672634	mobile
236.830546484851	mobile
237.784764498996	mobile
242.63074120871	mobile
237.935593442838	mobile
239.578165766889	mobile
239.155915831159	mobile
240.310447810177	mobile
240.411200997686	mobile
242.188876673066	mobile
238.331572066972	mobile
239.309353855915	mobile
239.961449051815	mobile
242.558370664523	mobile
240.239964337091	mobile
239.343337545057	mobile
239.25471084054	mobile
239.750731581913	mobile
241.779983918872	mobile
238.635718700601	mobile
241.011333366152	mobile
241.185304912402	mobile
244.395218325922	mobile
241.01880507376	mobile
239.014232344946	mobile
238.365533877029	mobile
240.658336204963	mobile
237.882968773076	mobile
241.131542530207	mobile
239.246117829814	mobile
241.214207183998	mobile
243.119711414866	mobile
239.36871728393	mobile
239.202365129114	mobile
241.048626266936	mobile
241.00183784316	mobile
242.115105867424	mobile
241.062153011383	mobile
240.88035422239	mobile
238.529090978706	mobile
240.577378119821	mobile
241.067732178118	mobile
238.836125651587	mobile
241.631818753658	mobile
239.394304874113	mobile
238.73413082599	mobile
239.900357176066	mobile
239.750157255925	mobile
